"","Date","Count","Amount","President"
"1",2001,23,776000,"Bush"
"2",2002,20,161193,"Bush"
"3",2003,28,1074050,"Bush"
"4",2004,30,368081,"Bush"
"5",2005,35,73250,"Bush"
"6",2006,26,576206,"Bush"
"7",2007,36,133224,"Bush"
"8",2008,31,2060076,"Bush"
"9",2009,31,68222,"Obama"
"10",2010,28,499873,"Obama"
"11",2011,30,353511,"Obama"
"12",2012,15,165350,"Obama"
"13",2013,23,2931923,"Obama"
"14",2014,21,478790,"Obama"
"15",2015,14,123568,"Obama"
"16",2016,14,69325,"Obama"
"17",2017,13,3150,"Trump"
"18",2018,15,3548,"Trump"
"19",2019,10,11867,"Trump"
"20",2020,8,103423,"Trump"
