"","Date","Amount","Count","Amountinthousands","President"
"1",2001,0,7,0,"Bush"
"2",2002,5000,2,5,"Bush"
"3",2003,0,3,0,"Bush"
"4",2004,69600,9,70,"Bush"
"5",2005,0,0,0,"Bush"
"6",2006,500,4,0,"Bush"
"7",2007,3916458,9,3916,"Bush"
"8",2008,168000,6,168,"Bush"
"9",2009,5000,3,5,"Obama"
"10",2010,0,7,0,"Obama"
"11",2011,2000,6,2,"Obama"
"12",2012,0,3,0,"Obama"
"13",2013,0,2,0,"Obama"
"14",2014,0,3,0,"Obama"
"15",2015,0,2,0,"Obama"
"16",2016,0,0,0,"Obama"
"17",2017,0,0,0,"Trump"
"18",2018,0,3,0,"Trump"
"19",2019,0,1,0,"Trump"
